,MovieTitle,chg_ON,chg_ON_abs
2007-02-09,コン・エアー,0.0038740520936367713,0.0038740520936367713
2007-02-23,隠し剣鬼の爪,-0.0030490317264111277,0.0030490317264111277
2007-03-02,スパイ・ゲーム,-0.013089672758181098,0.013089672758181098
2007-03-09,ソードフィッシュ,0.007071051286420159,0.007071051286420159
2007-03-16,ジャッカル,-0.0036799315361574036,0.0036799315361574036
2007-03-23,ジュラシック・パークIII,0.0006781959986437141,0.0006781959986437141
2007-04-11,101,0.0010905125408943014,0.0010905125408943014
2007-04-13,スパイキッズ,0.005649241146711651,0.005649241146711651
2007-04-20,ザ・コア,0.0005053908355795339,0.0005053908355795339
2007-04-27,スパイダーマン2,0.0004187253998827331,0.0004187253998827331
2007-05-04,ルパン三世ルパンVS複製人間,,
2007-05-11,スパイダー,0.002002002002002078,0.002002002002002078
2007-05-18,パッチギ！,-0.0011541632316570533,0.0011541632316570533
2007-05-25,紅の豚,0.0034607778510217673,0.0034607778510217673
2007-06-01,ランナウェイ,0.0010664479081213736,0.0010664479081213736
2007-06-08,ボーン・コレクター,0.006119242537004836,0.006119242537004836
2007-06-15,天空の城ラピュタ,0.0014597356256588485,0.0014597356256588485
2007-06-22,バーティカル・リミット,-0.00177319255259127,0.00177319255259127
2007-06-29,ターミネーター3,-0.0021056041464205142,0.0021056041464205142
2007-07-06,逃亡者,0.0020290560831101373,0.0020290560831101373
2007-07-13,魔女の宅急便,-0.004248366013071979,0.004248366013071979
2007-07-20,コマンドー,-0.00898766239071815,0.00898766239071815
2007-07-27,ルパン三世霧のエリューシヴ,-0.006130847400688585,0.006130847400688585
2007-08-03,トウームレイダー,-0.012843112566104266,0.012843112566104266
2007-08-10,オーシャンズ12,0.002117208672086721,0.002117208672086721
2007-08-17,ホーンテッドマンション,0.013484740951029063,0.013484740951029063
2007-08-31,DEATHNOTEディレクターズカット完全決着版,-0.003613214039917427,0.003613214039917427
2007-09-14,ダイ・アナザー・デイ,0.00043478260869562747,0.00043478260869562747
2007-09-21,火垂るの墓,-0.0016517430235590518,0.0016517430235590518
2007-09-28,花田少年史,-0.003383360805066371,0.003383360805066371
2007-10-05,バットマンビギンズ,0.007467170199982751,0.007467170199982751
2007-10-12,プレデター,0.002727582679850046,0.002727582679850046
2007-10-19,おもひでぽろぽろ,-0.016040926038324757,0.016040926038324757
2007-11-02,ALWAYS三丁目の夕日,0.0002619172341538932,0.0002619172341538932
2007-11-09,ボーン・スプレマシー,-0.018460992278334944,0.018460992278334944
2007-11-16,ジョンＱ最後の決断,0.00663033605812901,0.00663033605812901
2007-11-23,佐賀のがばいばあちゃん,,
2007-12-07,トータル・フィアーズ,0.003955767328957994,0.003955767328957994
2007-12-14,キャッツ＆ドッグス,0.008364477665064938,0.008364477665064938
2007-12-21,極道の妻たちII,0.009191338930622996,0.009191338930622996
2007-12-28,ルパン三世DEADORALIVE,-0.031824611032531896,0.031824611032531896
2008-01-11,チャーリーとチョコレート工場,-0.006058380760051373,0.006058380760051373
2008-01-18,ファンタスティック・フォー[超能力ユニット],-0.003170458784035707,0.003170458784035707
2008-01-25,X-MEN2,-0.008082497212932038,0.008082497212932038
2008-02-01,DEATHNOTEデスノート,0.001503053076561734,0.001503053076561734
2008-02-08,デスノートtheLastname,-0.006045386904761826,0.006045386904761826
2008-02-22,耳をすませば,0.00018634119072017164,0.00018634119072017164
2008-02-29,パニッシャー,-0.011980065171554533,0.011980065171554533
2008-03-07,デンジャラス・ビューティー2,-0.0014642717688402136,0.0014642717688402136
2008-03-14,アイ・スパイ,-0.021138697776448345,0.021138697776448345
2008-03-21,妖怪大戦争,-0.0005016051364367111,0.0005016051364367111
2008-03-28,タイタニック（前編）,-0.0064993500649935575,0.0064993500649935575
2008-03-29,タイタニック（後編）,,
2008-04-04,トゥームレイダー2,-0.006645817044565995,0.006645817044565995
2008-04-11,Ｍｒ.＆Ｍｒｓ.スミス,-0.006482663785482728,0.006482663785482728
2008-04-18,ファインディング・ニモ,0.0134660421545667,0.0134660421545667
2008-04-25,タッチ,-0.0005730111737177736,0.0005730111737177736
2008-05-02,ルパン三世カリオストロの城,0.0018141888666093548,0.0018141888666093548
2008-05-09,少林サッカー,-0.004364694471386893,0.004364694471386893
2008-05-16,レジェンド・オブ・ゾロ,-0.0012470023980814913,0.0012470023980814913
2008-05-23,ホームアローン,-0.006737895851381296,0.006737895851381296
2008-05-30,ヴィレッジ,-0.00018964536317083274,0.00018964536317083274
2008-06-06,風の谷のナウシカ,-0.011316484345530014,0.011316484345530014
2008-06-13,インディ・ジョーンズ魔宮の伝説,0.0021282502081984267,0.0021282502081984267
2008-06-20,マトリックスリローデッド,-0.003435468895078965,0.003435468895078965
2008-06-27,マトリックスレボリューションズ,-0.0005641748942170951,0.0005641748942170951
2008-07-04,猫の恩返し,9.368559115612813e-05,9.368559115612813e-05
2008-07-11,ゲド戦記,-0.005783042626620561,0.005783042626620561
2008-07-18,となりのトトロ,0.0017865538316879355,0.0017865538316879355
2008-07-25,ルパン三世SWEETLOSTNIGHT〜魔法のランプは悪夢の予感〜,0.010206948216125004,0.010206948216125004
2008-08-08,ザスーラ,-0.001456531634046396,0.001456531634046396
2008-08-22,DEATHNOTEリライト2Lを継ぐ者,0.007515351480157707,0.007515351480157707
2008-08-29,舞妓Haaaan！！！,-0.003033088235294102,0.003033088235294102
2008-09-05,メン・イン・ブラック,0.02000187811062081,0.02000187811062081
2008-09-12,メン・イン・ブラック2,-0.030325581395348886,0.030325581395348886
2008-09-19,チャーリーズ・エンジェル,-0.004289444237224858,0.004289444237224858
2008-09-26,スパイダーマン,0.00939724727100151,0.00939724727100151
2008-10-03,ハウルの動く城,-0.004284898114644857,0.004284898114644857
2008-10-17,ホーム・アローン3,0.004552201880257377,0.004552201880257377
2008-10-24,ダイヤモンド・イン・パラダイス,-0.017023959646910367,0.017023959646910367
2008-10-31,オーシャンズ１１,0.020719513452221325,0.020719513452221325
2008-11-07,インビジブル,0.014858079721282946,0.014858079721282946
2008-11-14,SHINOBI,-0.006708638662400719,0.006708638662400719
2008-11-21,ALWAYS続・三丁目の夕日,0.01989683124539426,0.01989683124539426
2008-12-05,252生存者ありepisode.ZERO,0.005962705984388675,0.005962705984388675
2008-12-12,Mr.インクレディブル,0.012837686983701782,0.012837686983701782
2008-12-19,暴走特急,0.0067468795681996435,0.0067468795681996435
2009-01-09,デスノートtheLastname,-0.018648530057042593,0.018648530057042593
2009-01-16,LchangetheWorLd,0.009965673790277838,0.009965673790277838
2009-01-23,香港国際警察/NEWPOLICESTORY,0.0011319900384875968,0.0011319900384875968
2009-01-30,20世紀少年〜もう一つの第１章〜,0.0022343872193049783,0.0022343872193049783
